S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
1,32,18,7,7,0,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,3.0,2.0,3.0,72,5.0,9.0,5.0,9.0,2.0,6.0,5.0,12.0,5.0,4.0,1.3333333333333333,0.6,2.2,3.6
1,36,18,20,20,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,11.0,12.0,11.0,212,16.0,24.0,16.0,24.0,13.0,12.0,17.0,25.0,4.0,4.0,0.6666666666666666,0.8,2.4,2.2
1,38,18,1,1,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,9,,,,,,,,,4.0,4.0,0.3333333333333333,0.4,1.2,1.8
1,46,18,36,38,0,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24.0,13.0,24.0,13.0,403,44.0,37.0,44.0,37.0,24.0,16.0,44.0,40.0,4.0,4.0,1.0,0.6,1.0,1.8
1,30,18,33,33,3,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,17.0,12.0,17.0,12.0,356,44.0,36.0,44.0,36.0,20.0,12.0,47.0,36.0,4.0,4.0,2.0,0.8,1.0,2.0
1,43,18,10,10,3,2,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7.0,6.0,7.0,6.0,109,15.0,15.0,15.0,15.0,10.0,6.0,18.0,15.0,4.0,4.0,1.6666666666666667,0.8,1.4,1.4
1,22,18,13,13,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,7.0,9.0,7.0,136,16.0,16.0,16.0,16.0,9.0,10.0,16.0,19.0,4.0,4.0,0.0,1.0,2.2,2.2
1,23,18,40,41,3,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,41.0,16.0,41.0,16.0,436,63.0,41.0,63.0,41.0,44.0,16.0,66.0,41.0,2.0,4.0,2.0,1.4,2.6,1.8
1,48,18,17,17,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,10.0,12.0,10.0,184,21.0,20.0,21.0,20.0,13.0,11.0,22.0,21.0,2.0,4.0,1.0,1.0,2.8,1.8
1,4,18,22,23,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21.0,12.0,21.0,12.0,242,39.0,25.0,39.0,25.0,24.0,12.0,42.0,25.0,1.0,4.0,2.0,1.0,3.0,1.6
1,15,18,14,14,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0,10.0,10.0,10.0,145,16.0,19.0,16.0,19.0,13.0,10.0,19.0,19.0,3.0,4.0,1.0,1.0,2.8,3.0
1,27,18,27,27,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,12.0,29.0,12.0,281,61.0,28.0,61.0,28.0,32.0,12.0,64.0,28.0,1.0,4.0,0.3333333333333333,0.8,2.4,1.6
1,34,18,37,39,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,26.0,16.0,26.0,16.0,412,51.0,40.0,51.0,40.0,29.0,16.0,54.0,40.0,3.0,4.0,2.3333333333333335,0.4,2.2,3.2
1,37,18,35,36,5,1,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,27.0,13.0,27.0,13.0,385,48.0,37.0,48.0,37.0,30.0,13.0,51.0,37.0,3.0,4.0,2.6666666666666665,0.6,2.2,3.0
1,42,18,11,11,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,6.0,1.0,6.0,118,3.0,15.0,3.0,15.0,2.0,7.0,4.0,16.0,5.0,4.0,1.3333333333333333,0.6,3.0,3.6
1,0,22,7,7,4,0,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6.0,4.0,6.0,4.0,67,13.0,11.0,13.0,11.0,9.0,4.0,16.0,11.0,2.0,4.0,2.0,0.0,3.0,1.8
1,1,22,31,31,0,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24.0,15.0,24.0,15.0,335,49.0,36.0,49.0,36.0,24.0,18.0,49.0,39.0,3.0,4.0,0.25,0.5,3.2,3.0
1,14,22,19,20,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,12.0,11.0,12.0,207,14.0,25.0,14.0,25.0,12.0,13.0,15.0,26.0,4.0,4.0,1.75,0.6666666666666666,3.2,2.6
1,25,22,38,38,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37.0,19.0,37.0,19.0,399,54.0,41.0,54.0,41.0,40.0,19.0,57.0,41.0,3.0,4.0,1.5,0.5,3.0,3.2
1,26,22,26,27,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,12.0,14.0,12.0,14.0,290,21.0,32.0,21.0,32.0,15.0,14.0,24.0,32.0,4.0,4.0,1.25,0.6,2.0,2.6
1,29,22,33,33,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30.0,19.0,30.0,19.0,358,57.0,40.0,57.0,40.0,33.0,19.0,60.0,40.0,2.0,4.0,2.0,0.6,2.2,2.4
1,32,22,1,1,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,7,,,,,,,,,5.0,4.0,1.0,0.6,1.8,2.8
1,36,22,5,5,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,3.0,6.0,3.0,52,6.0,9.0,6.0,9.0,7.0,4.0,7.0,10.0,4.0,4.0,0.75,1.0,2.2,3.0
1,38,22,19,19,0,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,9.0,10.0,9.0,204,14.0,22.0,14.0,22.0,10.0,12.0,14.0,25.0,4.0,4.0,0.25,1.0,2.2,2.8
1,46,22,34,36,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,21.0,19.0,21.0,19.0,386,38.0,41.0,38.0,41.0,24.0,19.0,41.0,41.0,4.0,4.0,1.25,1.2,2.2,2.0
1,30,22,4,4,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,3.0,42,6.0,9.0,6.0,9.0,3.0,3.0,9.0,9.0,4.0,4.0,1.75,1.2,2.2,2.2
1,43,22,33,32,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.0,18.0,16.0,18.0,353,32.0,39.0,32.0,39.0,17.0,19.0,33.0,40.0,4.0,4.0,1.5,1.2,2.0,2.0
1,18,22,29,28,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.0,14.0,19.0,14.0,298,31.0,32.0,31.0,32.0,20.0,15.0,32.0,33.0,4.0,4.0,0.3333333333333333,0.8,1.8,1.8
1,23,22,25,24,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.0,13.0,26.0,13.0,267,42.0,30.0,42.0,30.0,27.0,14.0,43.0,31.0,2.0,4.0,1.3333333333333333,0.6,1.4,2.4
1,48,22,12,12,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,4.0,9.0,4.0,132,17.0,13.0,17.0,13.0,9.0,7.0,17.0,16.0,2.0,4.0,0.75,0.4,1.2,2.2
1,4,22,42,42,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,46.0,19.0,46.0,19.0,453,83.0,42.0,83.0,42.0,47.0,20.0,84.0,43.0,1.0,4.0,1.5,0.6,1.0,1.2
1,15,22,26,26,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18.0,14.0,18.0,14.0,287,31.0,32.0,31.0,32.0,21.0,14.0,34.0,32.0,3.0,4.0,1.0,0.6,0.8,2.8
1,27,22,16,16,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.0,8.0,22.0,8.0,170,40.0,17.0,40.0,17.0,23.0,9.0,41.0,18.0,1.0,4.0,0.25,0.4,0.6,1.2
1,34,22,10,10,3,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,7.0,4.0,7.0,4.0,104,11.0,12.0,11.0,12.0,10.0,4.0,14.0,12.0,3.0,4.0,2.5,0.4,0.6,2.4
1,37,22,39,40,5,0,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,33.0,19.0,33.0,19.0,424,58.0,42.0,58.0,42.0,36.0,19.0,61.0,42.0,3.0,4.0,3.25,0.4,1.2,2.4
1,42,22,15,15,2,2,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,7.0,2.0,7.0,162,5.0,16.0,5.0,16.0,3.0,8.0,6.0,17.0,5.0,4.0,1.5,0.0,1.8,2.6
1,0,38,9,9,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0.0,9.0,0.0,89,16.0,3.0,16.0,3.0,12.0,0.0,19.0,3.0,2.0,4.0,1.8,0.0,2.6,2.0
1,1,38,16,16,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,1.0,13.0,1.0,169,29.0,11.0,29.0,11.0,13.0,4.0,29.0,14.0,3.0,4.0,0.2,1.0,2.6,2.2
1,14,38,34,35,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,10.0,28.0,10.0,379,38.0,33.0,38.0,33.0,31.0,10.0,41.0,33.0,4.0,4.0,1.8,0.6666666666666666,3.0,1.4
1,25,38,13,13,4,2,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10.0,1.0,10.0,1.0,137,17.0,8.0,17.0,8.0,13.0,1.0,20.0,8.0,3.0,4.0,2.0,1.0,2.8,2.4
1,26,38,22,23,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,4.0,10.0,4.0,239,19.0,17.0,19.0,17.0,11.0,5.0,20.0,18.0,4.0,4.0,1.2,1.0,3.0,1.6
1,29,38,26,26,1,2,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,24.0,5.0,24.0,5.0,282,45.0,21.0,45.0,21.0,24.0,8.0,45.0,24.0,2.0,4.0,1.8,1.0,2.6,1.8
1,32,38,27,27,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,10.0,8.0,10.0,8.0,292,20.0,24.0,20.0,24.0,13.0,8.0,23.0,24.0,5.0,4.0,1.2,1.4,3.0,3.0
1,36,38,34,33,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20.0,9.0,20.0,9.0,366,27.0,32.0,27.0,32.0,21.0,10.0,28.0,33.0,4.0,4.0,0.6,1.2,3.2,1.4
